Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
272,8.68,0,0.008835694,5,96.5384,8,1997,2,0,1
1351,18.6,0,0.012679226000000002,9,120.9414,7,2002,2,1,1
154,15.85,0,0.078999287,3,38.6506,2,2007,2,1,1
999,12.857645184136183,0,0.035863436,10,58.3562,5,1985,1,2,3
1066,20.2,1,0.117339056,0,195.011,6,2004,2,1,1
203,13.15,0,0.061381589,5,179.9976,0,1998,2,2,0
289,14.15,0,0.020714523000000002,6,124.2046,8,1997,2,0,1
1101,20.1,1,0.022406575,6,225.9036,1,1987,0,2,1
921,5.82,1,0.077304459,6,257.633,6,2004,2,1,1
1460,12.857645184136183,0,0.019386056999999998,8,194.5794,5,1985,1,2,3
643,12.857645184136183,0,0.054363971,6,105.09899999999999,4,1985,2,0,0
581,19.25,1,0.027058066000000002,10,194.81099999999998,1,1987,0,2,1
433,14.35,1,0.091283986,5,232.6984,3,2009,1,2,2
1534,16.7,0,0.026598474,9,245.8776,1,1987,0,2,1
1308,16.0,0,0.099290166,9,214.0902,9,1999,1,0,1
328,11.35,1,0.005561798000000001,6,168.37900000000002,2,2007,2,1,1
1334,13.15,0,0.09264951,9,157.8604,6,2004,2,1,1
838,15.85,0,0.081953387,1,176.237,7,2002,2,1,1
1493,12.857645184136183,0,0.112249603,8,123.3414,4,1985,2,0,0
20,13.85,0,0.030769458,14,141.7154,1,1987,0,2,1
94,14.6,0,0.151419185,14,50.3692,2,2007,2,1,1
804,14.8,0,0.08120649099999999,10,189.2846,7,2002,2,1,1
375,16.35,0,0.06613202877895127,6,198.5426,8,1997,2,0,1
1008,5.75,1,0.07528708099999999,4,115.3176,9,1999,1,0,1
1466,10.1,0,0.054939848,8,199.5084,2,2007,2,1,1
342,7.89,0,0.036127671,4,117.4782,6,2004,2,1,1
231,8.75,1,0.07461309,6,187.4556,6,2004,2,1,1
657,7.72,1,0.088864488,6,119.3466,2,2007,2,1,1
768,13.85,1,0.08527498800000001,10,119.6124,8,1997,2,0,1
1305,8.18,0,0.06613202877895127,9,140.5154,7,2002,2,1,1
626,12.857645184136183,0,0.013199737,3,108.9254,5,1985,1,2,3
1202,17.5,0,0.026182757999999997,13,253.6356,9,1999,1,0,1
247,12.857645184136183,0,0.015385857,5,208.9928,5,1985,1,2,3
245,18.1,0,0.178975721,4,155.5288,2,2007,2,1,1
576,9.695,0,0.12988983099999998,6,185.3898,1,1987,0,2,1
180,13.6,0,0.11830085,13,196.2136,2,2007,2,1,1
658,14.15,0,0.06613202877895127,13,244.1828,7,2002,2,1,1
629,10.0,0,0.06613202877895127,6,246.9144,3,2009,1,2,2
1237,20.0,1,0.08618788599999999,5,125.4678,0,1998,2,2,0
868,11.6,0,0.017744998999999997,3,177.9686,8,1997,2,0,1
1244,8.1,1,0.019768503,3,88.6198,8,1997,2,0,1
1351,18.6,0,0.012673238,9,121.5414,9,1999,1,0,1
538,12.857645184136183,1,0.023417003999999998,10,223.8404,5,1985,1,2,3
494,11.5,1,0.125602951,5,100.8358,8,1997,2,0,1
905,16.75,0,0.06613202877895127,1,88.7856,7,2002,2,1,1
370,6.865,0,0.057152139000000005,13,211.8218,2,2007,2,1,1
391,14.5,1,0.058827383,6,172.2448,8,1997,2,0,1
150,11.85,1,0.050043472,6,164.6526,1,1987,0,2,1
1,12.857645184136183,1,0.069909188,14,163.2868,4,1985,2,0,0
730,19.6,0,0.039638705,13,166.0526,9,1999,1,0,1
1189,12.857645184136183,1,0.26639671,5,215.6218,4,1985,2,0,0
1499,11.8,0,0.098312421,8,81.4618,0,1998,2,2,0
798,5.785,1,0.06613202877895127,6,87.1856,6,2004,2,1,1
674,6.305,1,0.12301331,13,93.2436,1,1987,0,2,1
1379,12.857645184136183,0,0.293417759,9,194.6136,4,1985,2,0,0
923,15.15,1,0.012260981,13,131.7284,6,2004,2,1,1
990,19.2,1,0.09444959,5,187.8214,2,2007,2,1,1
1154,12.3,1,0.05823462099999999,13,58.7562,7,2002,2,1,1
493,13.35,1,0.014649641000000001,3,207.3638,9,1999,1,0,1
147,18.5,1,0.045425939000000005,4,144.9102,1,1987,0,2,1
883,8.85,0,0.054171606,6,183.9292,2,2007,2,1,1
45,17.25,0,0.08426245800000001,14,261.591,1,1987,0,2,1
244,14.5,1,0.041249072000000005,3,40.5454,8,1997,2,0,1
508,12.35,1,0.072541731,4,48.5692,7,2002,2,1,1
233,10.5,1,0.022590317999999998,13,140.6154,0,1998,2,2,0
878,6.465,0,0.06613202877895127,3,263.1884,3,2009,1,2,2
1484,12.857645184136183,0,0.06613202877895127,9,115.2176,5,1985,1,2,3
1106,18.0,0,0.008554102,0,79.3618,9,1999,1,0,1
1384,12.857645184136183,0,0.073077197,8,34.3216,4,1985,2,0,0
7,16.75,1,0.024848787999999997,14,39.9822,6,2004,2,1,1
968,13.35,0,0.1027194,4,228.8352,7,2002,2,1,1
256,8.96,1,0.06893834,6,196.4768,8,1997,2,0,1
1412,10.85,0,0.028738057999999997,9,117.1808,7,2002,2,1,1
1278,14.6,0,0.025698133999999997,9,196.5084,6,2004,2,1,1
1439,20.7,0,0.065689432,9,149.7366,0,1998,2,2,0
1303,14.0,0,0.040725405,9,43.4454,0,1998,2,2,0
1169,17.6,1,0.076431919,10,113.2202,3,2009,1,2,2
1426,10.0,0,0.073379745,8,118.244,8,1997,2,0,1
643,12.5,0,0.031225303,6,102.899,2,2007,2,1,1
420,8.1,0,0.128760294,6,213.7902,2,2007,2,1,1
555,9.195,0,0.101294945,0,46.2744,8,1997,2,0,1
1427,13.15,0,0.024701262,9,176.8686,7,2002,2,1,1
888,6.885,1,0.14080050000000002,3,111.4228,2,2007,2,1,1
298,7.945,0,0.015873285,13,161.321,6,2004,2,1,1
320,10.895,1,0.03263762,5,147.7102,2,2007,2,1,1
933,7.42,0,0.020474913,13,248.4092,3,2009,1,2,2
1196,17.0,1,0.026622757,3,144.247,7,2002,2,1,1
262,16.0,1,0.065009745,4,79.5986,1,1987,0,2,1
631,14.0,1,0.04192285,13,54.763999999999996,1,1987,0,2,1
1384,12.35,0,0.041737627,8,33.1216,8,1997,2,0,1
488,12.857645184136183,0,0.305305397,6,116.6834,4,1985,2,0,0
1439,20.7,0,0.039245805,9,151.4366,8,1997,2,0,1
753,13.65,1,0.08057337099999999,5,260.1936,1,1987,0,2,1
481,19.1,0,0.038720852,6,210.8586,3,2009,1,2,2
319,19.75,1,0.018019662,5,181.56599999999997,6,2004,2,1,1
903,5.175,1,0.029490377,13,107.6622,6,2004,2,1,1
1548,8.43,0,0.177971115,9,174.0422,9,1999,1,0,1
1198,5.305,1,0.07871639,10,183.5608,0,1998,2,2,0
